Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
grouper air fra;Parcours 5;25/09/2024 09:46;10:29:35;100;43;1,4;808;1127
grouper air fra;T F af;25/09/2024 10:30;10:31:49;100;2;2,2;40;1585
Central Brioche;T D centre;25/09/2024 10:50;10:51:44;100;1;1,6;29;1346
Central Brioche;L centre;25/09/2024 10:52;11:55:57;81;64;1,2;1001;948
Central Brioche;T D centre;26/09/2024 06:31;06:32:50;100;1;1,6;29;1296
Central Brioche;L centre;26/09/2024 06:33;06:39:05;6;6;1;78;823
Central Brioche;L centre;26/09/2024 06:39;07:41:42;82;63;1,2;973;936
Central Brioche;L centre;26/09/2024 07:42;08:02:20;100;20;0,9;230;704
Central Brioche;L novotel;26/09/2024 08:04;08:12:01;47;8;1,6;160;1260
Central Brioche;L novotel;26/09/2024 08:25;08:35:56;100;10;1,7;236;1384
Central Brioche;L brioche;26/09/2024 08:36;09:41:39;100;65;0,7;612;566
Central Brioche;T F brioche;26/09/2024 09:42;09:49:02;100;7;1,7;154;1385
grouper air fra;Parcours 5;26/09/2024 10:02;10:45:24;100;43;1,4;809;1144
grouper air fra;T F af;26/09/2024 10:46;10:47:37;100;2;2;41;1616
Central Brioche;T D centre;26/09/2024 10:55;10:57:47;100;2;1,1;31;866
Central Brioche;L centre;26/09/2024 10:58;11:54:09;71;56;1,2;880;949
grouper air fra;Parcours 5;26/09/2024 12:12;12:54:16;100;42;1,4;796;1146
grouper air fra;T F af;26/09/2024 12:54;12:56:28;100;2;2,2;40;1620
Central Brioche;T D centre;27/09/2024 06:27;06:29:03;100;1;1,5;29;1221
Central Brioche;L centre;27/09/2024 06:29;07:40:38;82;72;1,1;1080;910
Central Brioche;L centre;27/09/2024 07:41;07:56:53;100;15;1,1;220;869
Central Brioche;L novotel;27/09/2024 07:58;08:06:30;47;8;1,5;157;1252
Central Brioche;L novotel;27/09/2024 08:23;08:33:24;100;10;1,7;237;1387
Central Brioche;L brioche;27/09/2024 08:33;09:27:07;82;54;0,8;565;634
Central Brioche;L brioche;27/09/2024 09:27;09:39:38;100;13;0,7;111;534
Central Brioche;T F brioche;27/09/2024 09:40;09:46:24;100;6;1,9;153;1514
grouper air fra;Parcours 5;27/09/2024 09:52;10:34:20;100;42;1,4;806;1156
grouper air fra;T F af;27/09/2024 10:35;10:36:25;100;1;2,3;41;1792
Central Brioche;T D centre;27/09/2024 10:41;10:42:56;100;1;1,6;29;1280
Central Brioche;L centre;27/09/2024 10:43;11:52:13;85;69;1,1;1055;925
grouper air fra;Parcours 5;27/09/2024 12:05;12:48:31;100;43;1,4;802;1134
grouper air fra;T F af;27/09/2024 12:49;12:50:41;100;1;2,2;40;1638
Central Brioche;T D centre;30/09/2024 06:28;06:30:10;100;2;1,4;29;1071
Central Brioche;L centre;30/09/2024 06:30;07:44:53;89;74;1,1;1111;903
Central Brioche;L centre;30/09/2024 07:53;08:02:37;99;9;1;130;844
Central Brioche;L centre;30/09/2024 08:05;08:06:54;100;2;0,9;20;715
Central Brioche;L novotel;30/09/2024 08:09;08:26:28;100;17;1,7;394;1364
Central Brioche;L brioche;30/09/2024 08:27;09:33:04;100;66;0,7;614;560
Central Brioche;T F brioche;30/09/2024 09:33;09:35:38;40;2;1,6;37;1265
grouper air fra;Parcours 5;30/09/2024 09:51;10:34:35;100;43;1,4;808;1143
grouper air fra;T F af;30/09/2024 10:35;10:36:43;100;1;2,2;40;1715
Central Brioche;T D centre;30/09/2024 11:19;11:20:58;100;1;1,5;29;1193
Central Brioche;L centre;30/09/2024 11:21;11:48:34;34;27;1,2;429;956
Central Brioche;L centre;30/09/2024 12:01;12:17:58;55;16;1,1;249;919
Central Brioche;L centre;30/09/2024 12:19;12:21:15;57;2;0,9;24;729
Central Brioche;T D centre;30/09/2024 06:28;06:30:10;100;2;1,4;29;1071
Central Brioche;L centre;30/09/2024 06:30;07:44:53;89;74;1,1;1111;903
Central Brioche;L centre;30/09/2024 07:53;08:02:37;99;9;1;130;844
Central Brioche;L centre;30/09/2024 08:05;08:06:54;100;2;0,9;20;715
Central Brioche;L novotel;30/09/2024 08:09;08:26:28;100;17;1,7;394;1364
Central Brioche;L brioche;30/09/2024 08:27;09:33:04;100;66;0,7;614;560
Central Brioche;T F brioche;30/09/2024 09:33;09:35:38;40;2;1,6;37;1265
grouper air fra;Parcours 5;30/09/2024 09:51;10:34:35;100;43;1,4;808;1143
grouper air fra;T F af;30/09/2024 10:35;10:36:43;100;1;2,2;40;1715
Central Brioche;T D centre;30/09/2024 11:19;11:20:58;100;1;1,5;29;1193
Central Brioche;L centre;30/09/2024 11:21;11:48:34;34;27;1,2;429;956
Central Brioche;L centre;30/09/2024 12:01;12:17:58;55;16;1,1;249;919
Central Brioche;L centre;30/09/2024 12:19;12:21:15;57;2;0,9;24;729
Central Brioche;T D centre;01/10/2024 06:23;06:24:25;100;1;1,3;13;1037
Central Brioche;L centre;01/10/2024 06:25;07:47:34;100;82;1,1;1255;923
Central Brioche;L novotel;01/10/2024 07:49;08:03:55;87;14;1,6;300;1263
